Name,M,N,K,i_wordsize,f_wordsize,o_wordsize,
transformer.h.0.attn.c_attn.Gemm,6,768,2304,2,0.5,2,
transformer.h.0.attn.MatMul,1,12,12,2,2,2,
transformer.h.0.attn.MatMul_1,1,12,12,2,2,2,
transformer.h.0.attn.c_proj.Gemm,6,768,768,2,0.5,2,
transformer.h.0.mlp.c_fc.Gemm,6,768,3072,2,0.5,2,
transformer.h.0.mlp.c_proj.Gemm,6,3072,768,2,0.5,2,
transformer.h.1.attn.c_attn.Gemm,6,768,2304,2,0.5,2,
transformer.h.1.attn.MatMul,1,12,12,2,2,2,
transformer.h.1.attn.MatMul_1,1,12,12,2,2,2,
transformer.h.1.attn.c_proj.Gemm,6,768,768,2,0.5,2,
transformer.h.1.mlp.c_fc.Gemm,6,768,3072,2,0.5,2,
transformer.h.1.mlp.c_proj.Gemm,6,3072,768,2,0.5,2,
transformer.h.2.attn.c_attn.Gemm,6,768,2304,2,0.5,2,
transformer.h.2.attn.MatMul,1,12,12,2,2,2,
transformer.h.2.attn.MatMul_1,1,12,12,2,2,2,
transformer.h.2.attn.c_proj.Gemm,6,768,768,2,0.5,2,
transformer.h.2.mlp.c_fc.Gemm,6,768,3072,2,0.5,2,
transformer.h.2.mlp.c_proj.Gemm,6,3072,768,2,0.5,2,
transformer.h.3.attn.c_attn.Gemm,6,768,2304,2,0.5,2,
transformer.h.3.attn.MatMul,1,12,12,2,2,2,
transformer.h.3.attn.MatMul_1,1,12,12,2,2,2,
transformer.h.3.attn.c_proj.Gemm,6,768,768,2,0.5,2,
transformer.h.3.mlp.c_fc.Gemm,6,768,3072,2,0.5,2,
transformer.h.3.mlp.c_proj.Gemm,6,3072,768,2,0.5,2,
transformer.h.4.attn.c_attn.Gemm,6,768,2304,2,0.5,2,
transformer.h.4.attn.MatMul,1,12,12,2,2,2,
transformer.h.4.attn.MatMul_1,1,12,12,2,2,2,
transformer.h.4.attn.c_proj.Gemm,6,768,768,2,0.5,2,
transformer.h.4.mlp.c_fc.Gemm,6,768,3072,2,0.5,2,
transformer.h.4.mlp.c_proj.Gemm,6,3072,768,2,0.5,2,
transformer.h.5.attn.c_attn.Gemm,6,768,2304,2,0.5,2,
transformer.h.5.attn.MatMul,1,12,12,2,2,2,
transformer.h.5.attn.MatMul_1,1,12,12,2,2,2,
transformer.h.5.attn.c_proj.Gemm,6,768,768,2,0.5,2,
transformer.h.5.mlp.c_fc.Gemm,6,768,3072,2,0.5,2,
transformer.h.5.mlp.c_proj.Gemm,6,3072,768,2,0.5,2,
transformer.h.6.attn.c_attn.Gemm,6,768,2304,2,0.5,2,
transformer.h.6.attn.MatMul,1,12,12,2,2,2,
transformer.h.6.attn.MatMul_1,1,12,12,2,2,2,
transformer.h.6.attn.c_proj.Gemm,6,768,768,2,0.5,2,
transformer.h.6.mlp.c_fc.Gemm,6,768,3072,2,0.5,2,
transformer.h.6.mlp.c_proj.Gemm,6,3072,768,2,0.5,2,
transformer.h.7.attn.c_attn.Gemm,6,768,2304,2,0.5,2,
transformer.h.7.attn.MatMul,1,12,12,2,2,2,
transformer.h.7.attn.MatMul_1,1,12,12,2,2,2,
transformer.h.7.attn.c_proj.Gemm,6,768,768,2,0.5,2,
transformer.h.7.mlp.c_fc.Gemm,6,768,3072,2,0.5,2,
transformer.h.7.mlp.c_proj.Gemm,6,3072,768,2,0.5,2,
transformer.h.8.attn.c_attn.Gemm,6,768,2304,2,0.5,2,
transformer.h.8.attn.MatMul,1,12,12,2,2,2,
transformer.h.8.attn.MatMul_1,1,12,12,2,2,2,
transformer.h.8.attn.c_proj.Gemm,6,768,768,2,0.5,2,
transformer.h.8.mlp.c_fc.Gemm,6,768,3072,2,0.5,2,
transformer.h.8.mlp.c_proj.Gemm,6,3072,768,2,0.5,2,
transformer.h.9.attn.c_attn.Gemm,6,768,2304,2,0.5,2,
transformer.h.9.attn.MatMul,1,12,12,2,2,2,
transformer.h.9.attn.MatMul_1,1,12,12,2,2,2,
transformer.h.9.attn.c_proj.Gemm,6,768,768,2,0.5,2,
transformer.h.9.mlp.c_fc.Gemm,6,768,3072,2,0.5,2,
transformer.h.9.mlp.c_proj.Gemm,6,3072,768,2,0.5,2,
transformer.h.10.attn.c_attn.Gemm,6,768,2304,2,0.5,2,
transformer.h.10.attn.MatMul,1,12,12,2,2,2,
transformer.h.10.attn.MatMul_1,1,12,12,2,2,2,
transformer.h.10.attn.c_proj.Gemm,6,768,768,2,0.5,2,
transformer.h.10.mlp.c_fc.Gemm,6,768,3072,2,0.5,2,
transformer.h.10.mlp.c_proj.Gemm,6,3072,768,2,0.5,2,
transformer.h.11.attn.c_attn.Gemm,6,768,2304,2,0.5,2,
transformer.h.11.attn.MatMul,1,12,12,2,2,2,
transformer.h.11.attn.MatMul_1,1,12,12,2,2,2,
transformer.h.11.attn.c_proj.Gemm,6,768,768,2,0.5,2,
transformer.h.11.mlp.c_fc.Gemm,6,768,3072,2,0.5,2,
transformer.h.11.mlp.c_proj.Gemm,6,3072,768,2,0.5,2,
lm_head.MatMul,1,6,50257,2,0.5,2,
